rb,Month,CI_max_lower,CI_max_upper
p129,1,267.0171476949931,268.7117395769101
p129,2,267.90392956782637,269.4791079576403
p129,3,273.4630278443494,275.3281067497122
p129,4,282.3668345056642,284.27095846730344
p129,5,289.7816718242838,291.21833935320984
p129,6,294.124202239916,295.2738062086667
p129,7,297.07705677804853,297.9798554379266
p129,8,296.1365823061124,297.0174592302745
p129,9,291.98870651885136,293.215321094229
p129,10,284.47077375535355,285.79303558909487
p129,11,277.4902642969867,278.87703751107045
p129,12,270.0337420810764,271.5876450649424
