rb,Month,CI_max_lower,CI_max_upper
p92,1,278.73886702419804,280.38302185060047
p92,2,280.9501442096544,282.84431023331143
p92,3,288.55968718547615,290.29572702761754
p92,4,293.01089228881784,294.4623671967393
p92,5,297.913047973541,299.05273346164256
p92,6,303.08218690073977,303.79894546099297
p92,7,304.15504032936946,304.88349719710055
p92,8,304.86215282509494,305.7394151744938
p92,9,300.2935892482745,301.3342609410759
p92,10,293.4078821947333,294.8962423291851
p92,11,287.2163250702686,288.611691373052
p92,12,281.05746463883196,282.64003631078737
