rb,Month,CI_max_lower,CI_max_upper
p27,1,283.35210394436535,284.4578960556346
p27,2,285.39806207478057,286.641584984043
p27,3,291.01371896692893,292.270904688985
p27,4,295.1019733502575,296.4340266497426
p27,5,300.0529436069443,301.281142414561
p27,6,305.710716980385,306.7096163529483
p27,7,308.27692247595775,308.9742603197412
p27,8,307.63678317362036,308.2510662887452
p27,9,304.2183186347995,305.0442369207559
p27,10,296.72492975692836,297.9482960495232
p27,11,290.2189601798021,291.6463731535311
p27,12,282.12443550230194,283.46426014987196
