rb,Month,CI_max_lower,CI_max_upper
p112,1,272.4048302066593,274.01343390901775
p112,2,273.2840617622031,274.9229058738172
p112,3,282.150760022201,284.261984763182
p112,4,288.76601523216505,290.429876634596
p112,5,294.68808928847307,296.0764534138708
p112,6,299.3920896426921,300.3661908856312
p112,7,301.1346809142668,302.06719818817453
p112,8,300.7405255114572,301.6306058249425
p112,9,296.5572982304386,297.78632297273134
p112,10,289.3540003377244,290.9816994467541
p112,11,282.50613554807126,284.06534025946394
p112,12,275.0690405330069,276.5032392717656
