rb,Month,CI_max_lower,CI_max_upper
p16,1,268.60654302313344,269.7898027417982
p16,2,270.936586699608,271.8624208921876
p16,3,275.8075741041179,277.16186379048867
p16,4,282.49313979968593,284.2698934744836
p16,5,289.28739228100784,290.92390006007423
p16,6,295.6282911872903,297.18691945603916
p16,7,302.8441110994434,303.67661022121496
p16,8,301.83447650786513,302.73529098319625
p16,9,296.43063280530515,297.48424589019766
p16,10,285.2855367728807,286.91206006834153
p16,11,276.7813537393462,278.42354233158085
p16,12,269.4521748493169,270.701522598827
