rb,Month,CI_min_lower,CI_min_upper
p40,1,260.60363895837554,262.4434090713447
p40,2,262.58825045176553,264.5801369548207
p40,3,271.85590901637636,273.72680269864543
p40,4,276.86616744625906,278.37522572364253
p40,5,283.4195212347738,284.6944014430844
p40,6,288.95328274771174,289.94859138087253
p40,7,291.714148176139,292.5538996709421
p40,8,289.6151700874473,290.6153497928362
p40,9,284.03147556691346,285.29493806224644
p40,10,277.6643843312391,279.0895803334784
p40,11,271.5923990254557,272.8302110102081
p40,12,262.77553010719885,264.42179172941417
