rb,Month,CI_min_lower,CI_min_upper
p52,1,264.96930567742163,266.52797826403173
p52,2,266.93131462744225,268.61092043469114
p52,3,273.663798113548,275.08812725233935
p52,4,277.86730675873196,279.1818006673857
p52,5,283.5421917979105,284.7364512652521
p52,6,290.0090529001776,290.9302921808255
p52,7,292.91939455511726,293.5838649851255
p52,8,291.3579295156009,292.14481794965496
p52,9,285.53585290905056,286.67996918892806
p52,10,278.111333950053,279.42971425848134
p52,11,272.01014544057404,273.2465720440477
p52,12,265.6611035356373,267.02063764783287
