rb,Month,CI_max_lower,CI_max_upper
p6,1,279.66248496062394,280.73033898771916
p6,2,280.0670671036901,281.2184764422657
p6,3,281.0021848879115,282.10675865708953
p6,4,283.67855864519277,285.0808668121898
p6,5,288.13810426219015,289.5987218768487
p6,6,291.25971269360826,292.35406312510275
p6,7,296.6400146288511,297.5469371816721
p6,8,297.1447006330734,298.13701050644124
p6,9,296.0934218441035,297.34985031192247
p6,10,288.8150201600201,290.12729142517975
p6,11,282.6619280313779,284.05310077224806
p6,12,278.3741382630546,279.4126788674982
