rb,Month,CI_max_lower,CI_max_upper
p62,1,286.2156885092304,287.9007590003072
p62,2,289.625557368273,291.5778689335407
p62,3,296.2857015652738,297.79856067345213
p62,4,300.749719639152,302.0617166390774
p62,5,303.7060890231337,305.10660725357207
p62,6,308.7664869957895,309.6414794100559
p62,7,307.1984660285014,308.0518740294695
p62,8,308.24996535627463,309.0650493381661
p62,9,303.9648888110862,305.02294132739837
p62,10,299.3896258452098,300.59584981658406
p62,11,292.9746815296052,294.40092172448493
p62,12,287.03025524659853,288.7098074943869
