rb,Month,CI_max_lower,CI_max_upper
p57,1,284.2806349393908,286.0623254859195
p57,2,287.1237495118625,289.19336019884605
p57,3,293.82941936054755,295.4246107270507
p57,4,297.67495309300256,298.9961620343443
p57,5,302.47413968767194,303.4855888304328
p57,6,307.7235915579867,308.63738294538297
p57,7,308.6832945687743,309.72082599123814
p57,8,309.8922455161006,310.89714804217397
p57,9,304.65474548798835,305.8157657160759
p57,10,298.5326970660589,299.9141621728233
p57,11,292.64365454022146,294.1469761380725
p57,12,286.4599641221325,288.24249550644964
