rb,Month,CI_max_lower,CI_max_upper
p107,1,273.75676561336724,275.36130041307234
p107,2,275.01104107245345,276.8238679471262
p107,3,285.32947276420543,287.38267144650547
p107,4,290.91516179844047,292.5350959865513
p107,5,296.3020539480821,297.6145191720289
p107,6,301.3045127923139,302.21718197067713
p107,7,302.8569592731598,303.8088018966325
p107,8,302.94267704165645,303.8054203685979
p107,9,298.43616433169575,299.7287398193912
p107,10,291.47231473761786,293.1179459019456
p107,11,284.205064569602,285.79393885855814
p107,12,276.372021635846,277.88339851002723
