rb,Month,CI_min_lower,CI_min_upper
p127,1,263.6154899483536,265.34264446450965
p127,2,263.46301391731527,265.1303010743421
p127,3,269.1980694502776,270.97040224577523
p127,4,276.09362573378917,277.3568767484944
p127,5,282.17910553665354,283.42799712898204
p127,6,287.30654397069554,288.32199214960997
p127,7,289.8388688858843,290.7014800799604
p127,8,288.81488629408886,289.6717576467141
p127,9,284.8652754310026,286.0936437572418
p127,10,279.0153995524798,280.37447417249035
p127,11,273.31468820458974,274.6217306532136
p127,12,267.22684454491116,268.65765876658315
