rb,Month,CI_max_lower,CI_max_upper
p81,1,272.56175545104395,274.2400040124171
p81,2,274.1801055766048,276.05635570132756
p81,3,284.9400950181512,287.0646798555717
p81,4,290.72870120200963,292.3750659875913
p81,5,296.56787191096987,297.85745220848696
p81,6,302.1138656955013,303.0615008489756
p81,7,304.17863274643685,305.2592011193933
p81,8,304.29539818617235,305.32010081065476
p81,9,298.6837699819616,299.9164711675873
p81,10,291.40713651549163,293.07827949765783
p81,11,283.8566066709914,285.4727206203333
p81,12,275.3359133477407,276.86090075786746
