rb,Month,CI_max_lower,CI_max_upper
p93,1,277.25535576379554,278.9395770926862
p93,2,279.1269191185257,281.05225703169305
p93,3,287.9215222045086,289.8025629912538
p93,4,292.6908385363012,294.2508304999954
p93,5,297.6303378496535,298.86857669385216
p93,6,302.89961741128207,303.711684152412
p93,7,304.22363786070645,305.06899766881276
p93,8,304.91332815564704,305.8189326315339
p93,9,300.16393175535063,301.3455522689403
p93,10,293.2534733926462,294.83704514616346
p93,11,286.43341466641766,287.93152616913676
p93,12,279.6016601807709,281.21956547438225
