rb,Month,CI_min_lower,CI_min_upper
p27,1,274.8517238616702,275.823975063061
p27,2,275.6724121356369,276.59299962906897
p27,3,278.5330877495732,279.56121332569563
p27,4,281.1389677401811,282.34003225981894
p27,5,285.8656718477992,287.0260485823084
p27,6,291.0457888487875,291.9689889289903
p27,7,295.96652391591203,296.50336855720616
p27,8,295.1515749127885,295.79616702269544
p27,9,291.92844813287996,292.7323296448978
p27,10,284.55217964467863,285.7393257316654
p27,11,279.5593242548338,280.72567574516614
p27,12,274.542636099562,275.65464650913356
