rb,Month,CI_max_lower,CI_max_upper
p75,1,265.3368591547356,266.9965358832072
p75,2,266.7419994988201,268.2871217678442
p75,3,274.24209191363855,276.20561583017104
p75,4,281.9329063238117,283.6148060197429
p75,5,289.56673547994694,290.85766711789995
p75,6,294.31907709610755,295.41032848048917
p75,7,297.4115945498258,298.3260136474957
p75,8,296.5099741556663,297.35670774645064
p75,9,291.8777993670394,293.10452410612595
p75,10,284.7150492586144,286.1762065048621
p75,11,277.3434782836137,278.6741055519714
p75,12,268.71857056331504,269.99081691798034
