rb,Month,CI_max_lower,CI_max_upper
p87,1,284.63963621449494,286.2540016295348
p87,2,287.0557011881369,288.8058109679844
p87,3,293.0545277860472,294.39874132102
p87,4,296.77189809446446,297.8861469923094
p87,5,301.30173798821266,302.1438166679697
p87,6,305.7013695433733,306.3799642196344
p87,7,305.66012941238085,306.3397368527572
p87,8,306.46046437811145,307.3569622523651
p87,9,302.87584826103404,303.60207127484233
p87,10,297.1799929835948,298.4474267928388
p87,11,291.57357630839317,292.80772978566847
p87,12,286.8590914048544,288.398490794844
