rb,Month,CI_max_lower,CI_max_upper
p39,1,273.2600260414125,274.914840433421
p39,2,275.0602561703811,276.5283884124948
p39,3,284.70070769607435,286.73027046040954
p39,4,288.00380872247086,289.8710102532387
p39,5,293.9704694252014,295.7083533895353
p39,6,301.1200862448958,302.6438804601951
p39,7,305.35777433975915,306.386257981342
p39,8,304.84738849734015,305.89933801749874
p39,9,299.12226721301874,300.47370949802064
p39,10,288.8872601488903,290.89690880640296
p39,11,281.9846939136806,283.7905811897751
p39,12,273.81443903223334,275.46874808547005
