rb,Month,CI_max_lower,CI_max_upper
p1,1,276.3527758358398,277.22598058104927
p1,2,278.02408445059905,278.8060234343279
p1,3,278.95792438975934,279.7722690915559
p1,4,281.901419521611,282.9619275479817
p1,5,286.63893442392134,287.8869304097642
p1,6,289.41589452708286,290.614793387536
p1,7,294.6418082699337,295.6750020506929
p1,8,294.7926180710644,295.9409262137438
p1,9,292.6249462361019,293.90643408408687
p1,10,284.8898008249293,285.95357643644905
p1,11,279.1190629999241,280.15796305822045
p1,12,275.3032046620122,276.23042502818504
