rb,Month,CI_min_lower,CI_min_upper
p2,1,271.73288276261,272.8175253787695
p2,2,273.1690435407217,274.0697449573982
p2,3,274.1747523499871,274.9993805533629
p2,4,275.60968053571946,276.5047400103157
p2,5,279.0719450868367,280.00791705736907
p2,6,281.89588426309564,282.75211003931753
p2,7,285.45203131620707,286.26563066200134
p2,8,285.4112821856393,286.22826649584346
p2,9,283.6823175625843,284.547278018682
p2,10,279.23765107035496,280.07150108321554
p2,11,275.21904370540096,276.3420688680717
p2,12,271.4325132122535,272.6116439331431
