rb,Month,CI_min_lower,CI_min_upper
p119,1,262.4290376848615,264.29511563734314
p119,2,262.2656241254535,264.10269688682246
p119,3,269.1974087582033,271.09330618979277
p119,4,275.5670222778105,277.06679812268015
p119,5,281.93781687952855,283.3684698974714
p119,6,286.4456989284283,287.60952148859053
p119,7,288.65687584419015,289.6575917110374
p119,8,287.85505210154975,288.7705337984306
p119,9,283.7295959034786,284.9771216359953
p119,10,277.93684358593055,279.3021825508447
p119,11,272.3496831361341,273.6123388045437
p119,12,265.86521848266443,267.3142847035907
