rb,Month,CI_min_lower,CI_min_upper
p122,1,264.29225484356425,265.97955594727273
p122,2,264.0100869452564,265.7117052935097
p122,3,270.4924947465846,272.2265693468561
p122,4,276.5781599828172,278.00263281961173
p122,5,282.631485397392,283.9913425803081
p122,6,287.5911137252881,288.7163301556882
p122,7,289.7832647014858,290.7527670354275
p122,8,288.8640428844266,289.7771312504029
p122,9,284.83488483286226,286.1248061990219
p122,10,278.71174009768,280.10834240834646
p122,11,273.0483925762134,274.379904620108
p122,12,267.4350806578278,268.81168477812673
