rb,Month,CI_min_lower,CI_min_upper
p98,1,272.4430195040028,274.01782852101405
p98,2,273.18880147063027,274.66076617055154
p98,3,278.28108142493096,279.88117855045454
p98,4,282.46861432786505,283.8351885161115
p98,5,287.3586173488843,288.37885035541785
p98,6,292.3103901384743,293.19810945098357
p98,7,294.0685194178997,294.8478645834593
p98,8,294.0200239896501,294.67057552276776
p98,9,289.74467142794913,290.68867641665315
p98,10,283.4704586115476,284.9226267459347
p98,11,277.69071589110075,279.00724868740787
p98,12,274.76718878249653,276.3665284878822
