rb,Month,CI_min_lower,CI_min_upper
p33,1,265.1176284671682,266.61894826631647
p33,2,265.7262916954589,267.2155463691068
p33,3,270.62605745932814,271.89803924254244
p33,4,273.44096972098106,274.57155049199577
p33,5,278.1775328576342,279.2805485290571
p33,6,284.3089406293888,285.22393652986926
p33,7,288.0330647936727,288.54030833163927
p33,8,286.9005611178353,287.51603835378444
p33,9,282.1587926274481,283.04711753268606
p33,10,275.50576431003265,276.77017533518756
p33,11,271.09045188430724,272.4190722713633
p33,12,264.86102315718693,266.4580818432435
