rb,Month,CI_min_lower,CI_min_upper
p115,1,263.70582739707703,265.6142591577578
p115,2,262.93908044587664,265.03134275969654
p115,3,270.74585877604676,272.7166555972288
p115,4,276.4125653599972,277.9611353722885
p115,5,282.6657795308149,284.10871507530874
p115,6,287.041342359279,288.26799547401066
p115,7,288.9094030106755,289.98797851986416
p115,8,288.11585216617823,289.1465445519291
p115,9,284.011544439395,285.3583203121129
p115,10,277.9192480413905,279.30493416692246
p115,11,272.3870171851831,273.7469417338819
p115,12,266.9829075410754,268.4592055951025
