rb,Month,CI_max_lower,CI_max_upper
p71,1,271.36158407109076,273.19164774139233
p71,2,273.1062838424806,275.049420384035
p71,3,284.3422212679218,286.6094405458949
p71,4,290.1316488875252,291.936271837679
p71,5,296.2172414278591,297.5747463236132
p71,6,302.2588957728161,303.2798530426261
p71,7,305.01706893111475,306.2583832549085
p71,8,305.0775250482547,306.30932059424043
p71,9,298.68103635064443,300.0070257906478
p71,10,290.99666669900233,292.72863184783097
p71,11,283.57350230954665,285.2811074789942
p71,12,274.0308019099163,275.71895123609653
