rb,Month,CI_max_lower,CI_max_upper
p121,1,274.1511513079997,275.7315381252158
p121,2,274.91554824569596,276.55282652272194
p121,3,282.99415392575986,284.81521984263577
p121,4,289.09106212187385,290.8730443861725
p121,5,294.9425884608279,296.28363489156186
p121,6,299.4759190491189,300.49234344172595
p121,7,301.6302499497289,302.5415417528366
p121,8,300.7652597163443,301.6533627360518
p121,9,296.63880946455606,297.9129778425647
p121,10,289.63408224957317,291.30642847076973
p121,11,282.8367471253282,284.1505946380389
p121,12,276.1081935528777,277.51312929957606
