rb,Month,CI_max_lower,CI_max_upper
p66,1,287.36543692050077,288.9346008213204
p66,2,289.7181303515241,291.43551448401854
p66,3,294.8010769375261,295.9962620447154
p66,4,298.6308729321491,299.65111073797965
p66,5,303.33146224369034,304.07628400028784
p66,6,307.16454524719666,307.9228341673638
p66,7,307.12586083403954,307.95156196458714
p66,8,308.53435645827113,309.33457277275096
p66,9,305.0316510119708,305.8283834885036
p66,10,299.96549888158006,301.06896406298927
p66,11,294.57113664779234,295.8509224718293
p66,12,289.61161931727844,291.17493120426644
