rb,Month,CI_max_lower,CI_max_upper
p43,1,262.92682136849817,264.845726336688
p43,2,265.8786860794826,267.6890981703965
p43,3,274.98902302821574,277.1801333344021
p43,4,284.4243271574168,286.3470708043263
p43,5,292.795459889447,294.2261227393195
p43,6,297.6658481165613,298.93364497346386
p43,7,301.52019941655294,302.5852597917368
p43,8,300.5754548654618,301.6170070046169
p43,9,294.66061580507176,296.20569151277357
p43,10,285.4649069082307,287.217267149781
p43,11,276.90591166949736,278.6209312461962
p43,12,265.898225554161,267.49556627922067
