rb,Month,CI_max_lower,CI_max_upper
p13,1,283.5634195729108,284.64561268515365
p13,2,285.90472826633925,287.03774232189596
p13,3,291.61560042788005,292.8487006473887
p13,4,296.0272084488842,297.348013773338
p13,5,301.1219688186852,302.4062032243255
p13,6,306.7827150156036,307.83361831772976
p13,7,310.05027088850227,310.72370760612137
p13,8,309.2702353060046,309.85653888754365
p13,9,305.29386407912773,306.17458036531673
p13,10,297.1317918165702,298.36756302213945
p13,11,289.9592438320248,291.32553394575297
p13,12,282.2222916974037,283.4523822156397
