rb,Month,CI_max_lower,CI_max_upper
p54,1,272.5676350782281,274.50252835429484
p54,2,274.8411241479415,276.89816564947546
p54,3,285.04747901735345,287.210015822204
p54,4,290.9283601122871,292.6447909068884
p54,5,296.8988981981002,298.1996826990647
p54,6,303.3354891317572,304.3897146614362
p54,7,306.0928106481961,307.325915174307
p54,8,306.38481060556745,307.57806607462277
p54,9,299.8229584539228,301.14821284050896
p54,10,291.899067772621,293.62295399573264
p54,11,284.75117121907186,286.41459165995826
p54,12,274.98913819581827,276.77588697354446
