rb,Month,CI_max_lower,CI_max_upper
p47,1,284.0445580105493,285.55442457907463
p47,2,286.285943164163,288.24393630554516
p47,3,293.4835858131568,294.9660755184994
p47,4,297.8866406657199,299.11765177453395
p47,5,301.55188924783585,302.76780547855986
p47,6,307.34669366917973,308.22501085946993
p47,7,305.88739616749103,306.7149110359934
p47,8,306.8879541477794,307.70472257405515
p47,9,302.68644509117104,303.61320052894956
p47,10,297.30425492731507,298.5161149148673
p47,11,290.6319079192899,292.0439082585111
p47,12,283.6669028557926,285.3523074737765
