rb,Month,CI_max_lower,CI_max_upper
p21,1,267.44539403449465,268.6794999106774
p21,2,269.0119314221324,270.0630356957723
p21,3,274.21909115546663,275.5005844073207
p21,4,278.88477856497553,280.4953193521987
p21,5,285.82453776136305,287.4608185562217
p21,6,293.4223730202239,294.94134129618675
p21,7,299.5054088421555,300.23923606595133
p21,8,298.37621360369195,299.1459257411927
p21,9,292.96605198931326,293.97170165771064
p21,10,282.06388010840453,283.7149846904897
p21,11,274.57925275645096,276.0226723591262
p21,12,267.37859405070526,268.69732555107316
