rb,Month,CI_max_lower,CI_max_upper
p9,1,285.4947204109606,286.4616961383792
p9,2,286.0595594816218,287.01794990401606
p9,3,288.3152499417862,289.2862676975478
p9,4,290.49467547817727,291.71657324995584
p9,5,294.35669299118223,295.5179496161616
p9,6,298.2412325327324,299.3980874284831
p9,7,301.22004782374506,302.01002017983717
p9,8,301.55278636478954,302.34298992477136
p9,9,300.3616855753599,301.3828604827415
p9,10,294.7646039326836,295.8795503670849
p9,11,289.34311630942733,290.48207563318107
p9,12,284.46807117472036,285.25615012753207
