rb,Month,CI_min_lower,CI_min_upper
p1,1,271.3145847120861,272.41891294836057
p1,2,271.98299184048346,272.9760766908928
p1,3,272.5986259152535,273.51866946189136
p1,4,274.08597824300165,274.98053620865124
p1,5,277.62862041896386,278.5187689598005
p1,6,280.5792842034956,281.40711981611844
p1,7,283.83511774379383,284.64934145854363
p1,8,283.7145753092482,284.5632309548456
p1,9,282.13210256206577,283.00707638278783
p1,10,277.886997235255,278.7242684861323
p1,11,273.9820481510098,275.1851417428615
p1,12,270.6634115622429,271.8841175558923
