rb,Month,CI_min_lower,CI_min_upper
p30,1,278.3507951341348,279.24161384444295
p30,2,278.6406482201006,279.6638715322031
p30,3,281.57562413324933,282.5839317091493
p30,4,283.8923830898053,284.9010442102849
p30,5,287.74253801329195,288.7010037093092
p30,6,292.8500077786401,293.7457752751547
p30,7,296.79999850961633,297.3152718709397
p30,8,296.78213465980866,297.29179769686516
p30,9,294.2465680507177,294.92336889299276
p30,10,287.8957335940706,288.938244377103
p30,11,282.98077196262125,284.07382140183836
p30,12,278.365508718568,279.3345176771711
