rb,Month,CI_min_lower,CI_min_upper
p87,1,275.0686942026953,276.80420658442523
p87,2,276.6033295591632,278.45188015522166
p87,3,281.8374570855079,283.3818825675847
p87,4,285.3585373324646,286.7040765026924
p87,5,290.29655230254025,291.2945609394835
p87,6,294.58893334716794,295.09792288810553
p87,7,295.4986315603215,295.87666492451496
p87,8,295.43440146653,295.97933274265296
p87,9,291.94394476299664,292.972816969744
p87,10,284.9116307213587,286.409525051834
p87,11,280.1358901718089,281.5849852741617
p87,12,276.9527780348908,278.6778299908525
