rb,Month,CI_max_lower,CI_max_upper
p95,1,281.4872016924535,283.02492022409274
p95,2,283.9883433493667,285.6612682983905
p95,3,289.94514073563437,291.6050729366667
p95,4,294.50520673992855,295.8465324510162
p95,5,298.95022444750606,299.98489406524476
p95,6,303.5806617661732,304.39354473389517
p95,7,304.19674143957184,304.9701800824289
p95,8,304.0531716438804,304.90184954838065
p95,9,300.1904647853907,301.26894737489835
p95,10,294.31699113026315,295.5662542890331
p95,11,288.50394915935846,289.7494517862014
p95,12,283.2842993279857,284.86322446442176
