rb,Month,CI_max_lower,CI_max_upper
p80,1,269.5509788360664,271.07117025194395
p80,2,270.49316421433025,272.15963694196626
p80,3,278.7181351328557,280.6960744090624
p80,4,284.6900429425845,286.2506572382337
p80,5,291.09180352795795,292.4638450833014
p80,6,296.01027258827196,297.12422409938915
p80,7,298.5427417511437,299.5494310720994
p80,8,297.38546584073345,298.35895523592774
p80,9,293.0074571270825,294.1962840905351
p80,10,287.30142366873736,288.71760257711935
p80,11,280.54466716631583,281.9127069882058
p80,12,272.63908803380264,273.9837861491195
