rb,Month,CI_min_lower,CI_min_upper
p67,1,277.106067108734,278.8532820014153
p67,2,279.0669451374603,281.1090728222478
p67,3,283.6134669107513,285.30036935247404
p67,4,287.1234276896598,288.7276613513711
p67,5,291.6523980513488,292.71106069172635
p67,6,294.6345128958032,295.22552733397544
p67,7,295.33453020373736,295.7941246188102
p67,8,295.375317518595,295.82012905050544
p67,9,292.3808467753527,293.4587136596262
p67,10,286.04688993651934,287.8519449531429
p67,11,281.8624696376353,283.6716376598903
p67,12,278.6381256001135,280.60927718454906
