rb,Month,CI_max_lower,CI_max_upper
p68,1,263.17975558819916,265.1685711046612
p68,2,265.6989478838301,267.48983758102406
p68,3,274.8566616553663,277.17669904023825
p68,4,284.9644624570808,287.0248634146818
p68,5,293.50722379927447,295.00082417954104
p68,6,298.2359012144548,299.4380860627177
p68,7,301.40178141201,302.4750062182808
p68,8,300.6484955738833,301.75120890761406
p68,9,295.40564006437256,296.8881909784606
p68,10,286.5980891117085,288.39301349597775
p68,11,277.99904958890306,279.7689551564587
p68,12,266.58647446266696,268.3011592113711
