rb,Month,CI_min_lower,CI_min_upper
p20,1,263.3865505336756,265.3385065764401
p20,2,264.1633877839516,266.01981185306767
p20,3,270.61884317282573,272.083068351705
p20,4,273.5998372239689,274.8217008124845
p20,5,278.79005434247773,279.92174024504783
p20,6,283.8779674522823,284.9380561104283
p20,7,289.36968125140754,290.2344643117161
p20,8,288.1644838764316,289.04415641294617
p20,9,282.98060820335564,284.0873576842018
p20,10,276.11417621322397,277.53544026806964
p20,11,270.3460823553215,272.091378073482
p20,12,263.1629379060234,265.0408784038528
