rb,Month,CI_max_lower,CI_max_upper
p17,1,269.3978046945562,270.68495848280935
p17,2,270.65925752585855,271.66678348414354
p17,3,274.47609756996496,275.56997167361635
p17,4,278.7128642339477,280.19190041094294
p17,5,285.1641439564696,286.7089998886572
p17,6,290.28026134589305,291.71244244264136
p17,7,297.30348365338835,298.3391794046756
p17,8,296.5874503353605,297.6491858156927
p17,9,292.30063848129737,293.56368522158266
p17,10,282.00995138418625,283.6288571220731
p17,11,274.2320149032678,275.850632906377
p17,12,268.168906535534,269.6264972721997
