rb,Month,CI_min_lower,CI_min_upper
p93,1,268.33998368657353,270.15965842182175
p93,2,269.6322559919083,271.5564371332971
p93,3,277.0935709316081,278.90263200467274
p93,4,281.0367594147918,282.64297764133397
p93,5,286.99029470546316,288.21042023347775
p93,6,291.77176538580767,292.64247511420507
p93,7,293.10423975329326,293.87194087188556
p93,8,291.9211926999988,292.8736377792997
p93,9,288.13536603699424,289.36148257351283
p93,10,280.98817990312625,282.44275912011904
p93,11,275.67714739070493,277.05260454456777
p93,12,271.1969685590829,272.7700134238548
