rb,Month,CI_max_lower,CI_max_upper
p65,1,290.44022994673526,292.0037849513076
p65,2,292.9113870538897,294.66748987676783
p65,3,297.9468673951488,299.06012607532335
p65,4,301.67811824530145,302.7275769823026
p65,5,305.16953657550914,305.9330714457826
p65,6,308.15363031520553,308.67270964318425
p65,7,307.50035405544486,308.24740689843304
p65,8,308.88509067390004,309.4762190188696
p65,9,305.53029764237516,306.35501779216935
p65,10,301.79886354333405,302.81227463593086
p65,11,297.0816476082384,298.2381188671616
p65,12,292.37789010514354,293.88753396479416
