rb,Month,CI_max_lower,CI_max_upper
p130,1,269.1355978900294,270.6540833693825
p130,2,270.1738347968265,271.4796713118512
p130,3,275.28874445235454,276.99326400158395
p130,4,283.58733919819736,285.39694016660064
p130,5,290.31517590894924,291.83653821
p130,6,294.4369165649651,295.71686600432935
p130,7,298.34470943234834,299.2559342923793
p130,8,297.28072051381383,298.25737278646903
p130,9,293.0799570174524,294.3028069695487
p130,10,285.9998110479548,287.2717696799187
p130,11,279.181491423892,280.4793792935626
p130,12,272.12750714571257,273.5673674472739
