rb,Month,CI_max_lower,CI_max_upper
p29,1,275.21000720959177,276.1384874140642
p29,2,278.5952731095847,279.8943739492388
p29,3,285.30249037242896,286.69331607918394
p29,4,290.06610597285464,291.2586718049231
p29,5,294.64077221529527,295.82653961266175
p29,6,301.0948552429643,301.97070031259125
p29,7,301.82577696909664,302.5548681921937
p29,8,301.4213785255749,302.0366859905541
p29,9,297.7164580432665,298.4403197345112
p29,10,291.2179314358821,292.36432662863405
p29,11,284.5080431304607,285.92317909176154
p29,12,275.9595843472926,277.3972634787944
