rb,Month,CI_min_lower,CI_min_upper
p85,1,271.2448373751832,272.8344694067038
p85,2,272.61233191585774,274.48090619118847
p85,3,279.50313425441556,281.1927243333544
p85,4,283.19591717788035,284.6602359049583
p85,5,288.76650627048895,289.8519173563131
p85,6,293.84874896891256,294.54574376584935
p85,7,294.96353663656873,295.5785747528597
p85,8,294.36513872613483,295.2206267474192
p85,9,289.7094643369557,290.90232027596363
p85,10,282.86850966236636,284.27888553322396
p85,11,277.95068001313285,279.3465494358673
p85,12,273.33485824928954,274.8672489896265
