rb,Month,CI_max_lower,CI_max_upper
p69,1,264.83220460629053,266.7546219909853
p69,2,267.07458323726513,268.80320737103585
p69,3,277.10519620385526,279.44361427932245
p69,4,286.16789765478757,288.07010719700975
p69,5,293.9700554446701,295.367898550686
p69,6,298.9681420465697,300.02567645998863
p69,7,301.67217835695766,302.82289266341826
p69,8,301.03882486783573,302.1529548882562
p69,9,295.9481680453801,297.3746170169705
p69,10,287.64894694037093,289.38058633812454
p69,11,279.20440078089206,280.876277430283
p69,12,268.2159584792107,269.9018201607612
