rb,Month,CI_min_lower,CI_min_upper
p73,1,265.9468115909339,267.83266898745984
p73,2,267.4260109388924,269.51872603546104
p73,3,276.0840026788055,278.0774331108929
p73,4,280.42788007550155,282.1078267124402
p73,5,286.1866211693781,287.4689542981512
p73,6,291.509318474594,292.3885079621939
p73,7,292.8951594908258,293.6963409740209
p73,8,291.76962235439396,292.775007816806
p73,9,286.8792572268676,288.1394389232388
p73,10,280.6552631696078,282.14019668152935
p73,11,275.32751020664546,276.81505116901246
p73,12,268.9888050554182,270.64555246868827
