rb,Month,CI_max_lower,CI_max_upper
p124,1,278.1923052071483,279.37768057649765
p124,2,278.5360784354692,279.6937465346324
p124,3,282.6767109184098,283.8136751553588
p124,4,287.74961473058767,288.7834802876053
p124,5,292.6218098052864,293.44580191498676
p124,6,297.9850203830195,298.726801441997
p124,7,300.21497049236234,300.7855468783607
p124,8,299.7697234103293,300.22035146027787
p124,9,296.6533125024358,297.31099488234474
p124,10,291.674512105928,292.60727017600004
p124,11,285.4712677512337,286.34093903143565
p124,12,280.8855322203357,282.065358997202
