rb,Month,CI_max_lower,CI_max_upper
p122,1,273.02450949710527,274.54607582825366
p122,2,273.81340928131766,275.283798753344
p122,3,280.92092561005734,282.6346523889289
p122,4,287.560804279434,289.283858542055
p122,5,293.986451035212,295.2698340884622
p122,6,298.3459651990478,299.37355000512923
p122,7,300.8710696847634,301.71969285820256
p122,8,299.6220152986378,300.5194108506243
p122,9,295.8152818818157,296.9519574667582
p122,10,288.5923446226876,290.112923009911
p122,11,281.92959432274847,283.17573724975534
p122,12,275.296992823692,276.63432995285916
