rb,Month,CI_max_lower,CI_max_upper
p19,1,265.3453619079559,267.40981955621163
p19,2,265.51493959721154,267.32259963960337
p19,3,274.4843340955797,276.6196819462223
p19,4,283.0034324957707,285.07357362276736
p19,5,290.205775860219,291.8141579549293
p19,6,296.49937013547986,298.04106579009675
p19,7,302.9875670992727,304.2059543363165
p19,8,301.78857511822486,302.9864549451822
p19,9,295.6629036545176,297.23164780246015
p19,10,284.5682840873053,286.39267025363563
p19,11,274.90145654947565,276.91775173094976
p19,12,264.7319496660315,266.74384889899534
