rb,Month,CI_min_lower,CI_min_upper
p35,1,256.5325505388825,258.8994484910515
p35,2,257.03173665642214,259.1698538638676
p35,3,266.05564532733047,268.1086366239259
p35,4,272.79608604112553,274.10574359295885
p35,5,278.8859901416237,279.9700901290626
p35,6,284.2753940836606,285.321454846668
p35,7,289.14432509081144,290.06606791318404
p35,8,287.53322714406784,288.4179522791086
p35,9,282.0453077619632,283.1989574959492
p35,10,274.8779301191716,276.19605664393254
p35,11,267.37045754390283,269.1418422537986
p35,12,257.60909140549813,259.6000328334253
