rb,Month,CI_min_lower,CI_min_upper
p39,1,263.74207418598843,265.3366089501687
p39,2,265.35300720293327,266.95645720219187
p39,3,271.96717452158833,273.224332149536
p39,4,275.1080464211673,276.33095814690125
p39,5,280.15572936519504,281.3775667984096
p39,6,286.22117809201956,287.1730997016659
p39,7,290.45572807869087,291.1131816821312
p39,8,288.5237363601746,289.33148226075986
p39,9,282.87601659740284,283.8782564740673
p39,10,276.0341529917609,277.2586982018358
p39,11,271.17465611623663,272.4149317838221
p39,12,264.1027973266358,265.74966495579406
