rb,Month,CI_max_lower,CI_max_upper
p116,1,274.0729372460059,275.73307489655264
p116,2,274.97323800009747,276.69007257020246
p116,3,283.3917221679353,285.2221253306428
p116,4,289.0514025940192,290.778849119545
p116,5,294.52229721701985,295.8222905009949
p116,6,298.7795377550735,299.69513703372155
p116,7,300.5627108725334,301.44191858520395
p116,8,300.15994957856475,300.9678845078773
p116,9,296.2720587351393,297.48378551140485
p116,10,289.4245644342443,291.1188893208687
p116,11,283.0675221005512,284.53599526516393
p116,12,276.34703284322393,277.9069612019937
