rb,Month,CI_min_lower,CI_min_upper
p31,1,269.42648469620855,270.3679680869828
p31,2,270.6651124416104,271.83672363961637
p31,3,274.5666583194446,275.60360653794294
p31,4,277.50940559277825,278.55172621283185
p31,5,281.9386755028671,282.88415095047003
p31,6,287.91849762922624,288.58776759895494
p31,7,290.9424141412545,291.3398347747469
p31,8,290.6205101123399,291.0634472638805
p31,9,286.3365340440974,287.02859632223823
p31,10,279.9633504695443,281.00324908119325
p31,11,274.2830681001628,275.34115565048836
p31,12,269.717498500853,270.85961089275315
