rb,Month,CI_max_lower,CI_max_upper
p117,1,275.8771458950882,277.6611106728703
p117,2,277.21259778652563,279.0579439983336
p117,3,285.3863255183872,287.30404601336824
p117,4,290.8257593125574,292.5286521513564
p117,5,295.5110835948488,296.8090181788694
p117,6,299.8797203210456,300.7507682155431
p117,7,301.1838587303452,302.04785067448375
p117,8,301.2007417375228,301.96652085941287
p117,9,297.381636390871,298.60142638398577
p117,10,290.8604137478552,292.57265438435
p117,11,284.6740739060652,286.2565149889635
p117,12,278.1293886663265,279.8965038834962
