rb,Month,CI_min_lower,CI_min_upper
p116,1,266.1180647224717,267.8522984262404
p116,2,265.96672496965095,267.86687494272746
p116,3,273.3374769658042,275.1491056043989
p116,4,278.3527439851321,279.8967630156024
p116,5,284.1108349040552,285.4257845152814
p116,6,288.34095576927285,289.3950692185818
p116,7,290.2215162763245,291.16459418477615
p116,8,289.52154538288784,290.3710514302723
p116,9,285.5454252737199,286.7357077720075
p116,10,279.52142384510654,280.8921578908349
p116,11,274.03848215571105,275.38014139813623
p116,12,268.87438931355314,270.3867273355131
