rb,Month,CI_min_lower,CI_min_upper
p75,1,255.6592809434859,257.93994960857015
p75,2,256.3473654903588,258.5590861469515
p75,3,264.186208380644,266.7206156215522
p75,4,272.83737973004565,274.10013104180484
p75,5,279.52940596532386,280.7218062841043
p75,6,284.7422030848186,285.7694000969068
p75,7,287.3203980721825,288.22013645415433
p75,8,286.0212752975831,286.951015447058
p75,9,281.65403504032747,282.78118107431
p75,10,276.77394230740026,277.97173341461576
p75,11,270.681577449508,272.02238548401357
p75,12,260.664642099978,262.5304564687889
