rb,Month,CI_min_lower,CI_min_upper
p48,1,269.6371325641256,270.755568703248
p48,2,271.04695170819826,272.6337532520242
p48,3,276.93622253775163,278.32013185882283
p48,4,280.7194913786548,282.0031624357444
p48,5,285.68410848016805,286.7510931459969
p48,6,292.1569291638218,292.80253020261455
p48,7,293.26160237221075,293.7363384202589
p48,8,292.7914088722608,293.4393502478742
p48,9,287.73849145399396,288.6636185699311
p48,10,280.98241909123465,282.29641859502124
p48,11,275.1208411594739,276.31645338496116
p48,12,270.69460411920545,271.8917184107195
