rb,Month,CI_min_lower,CI_min_upper
p131,1,262.8623875122326,264.71640957778317
p131,2,263.64524329542064,265.3047044482961
p131,3,268.85663076396855,270.5375170809694
p131,4,275.45571723878567,276.6173908867631
p131,5,281.5215627175015,282.6416820335976
p131,6,286.42062215941877,287.42964476291655
p131,7,289.9067211745808,290.7350510864199
p131,8,288.8035485176177,289.6754900727988
p131,9,284.8922104672231,286.0845421791546
p131,10,279.20469406289095,280.4780977930133
p131,11,273.82218276319276,275.05305822547535
p131,12,267.04425939171193,268.595962438202
