rb,Month,CI_min_lower,CI_min_upper
p111,1,262.52134570373426,264.659946317267
p111,2,261.4792167787543,263.5725713313513
p111,3,268.9053121019977,270.98538126409125
p111,4,276.1838749885891,277.4712183584994
p111,5,282.3129974873985,283.51994672023267
p111,6,286.6474040672018,287.7139083142116
p111,7,288.0080519966647,288.94518615013317
p111,8,287.18362213065126,288.0903170372474
p111,9,283.8107866390738,284.9178294607969
p111,10,278.8398669766427,279.99660150853333
p111,11,273.6447873467061,274.78385170160544
p111,12,267.65156994879936,269.039809213021
