rb,Month,CI_min_lower,CI_min_upper
p77,1,254.9754609133735,257.3079063089659
p77,2,256.96351574918754,259.27986165600043
p77,3,266.71712170273076,269.2168638154908
p77,4,274.54053692442,275.96965128890605
p77,5,281.11443543213073,282.4986700650306
p77,6,286.821380309269,287.9342210067175
p77,7,289.1768365121154,290.22362233816716
p77,8,287.37145776080837,288.44501494500975
p77,9,282.21089859920363,283.5843693017685
p77,10,276.6243261539466,278.07042335284206
p77,11,270.16759049302595,271.6242051738085
p77,12,259.65250437552123,261.75890015360477
